,Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,50-Day MA,50-Day Volatility
6066,2004-12-23,1.138393,1.147321,1.135714,1.143036,0.968929,245929600,0.0040785563509262435,1.0298678799999998,0.03209718827520556
6067,2004-12-27,1.157143,1.163393,1.122857,1.127857,0.956062,559490400,-0.013279546750933346,1.03636074,0.027045130242470114
6068,2004-12-28,1.130357,1.147321,1.108036,1.146071,0.971501,611755200,0.01614921040521966,1.04303216,0.02706813738139287
6069,2004-12-29,1.139464,1.160357,1.135179,1.150714,0.975437,449562400,0.004051232428008422,1.0489928599999998,0.026376344730988724
6070,2004-12-30,1.157321,1.16125,1.146786,1.157143,0.980887,345340800,0.005586966005453942,1.0552000000000001,0.02630728622432509
6071,2004-12-31,1.15875,1.160714,1.143393,1.15,0.974832,278588800,-0.006172962200868937,1.06124642,0.026358157518843867
6072,2005-01-03,1.156786,1.162679,1.117857,1.130179,0.95803,691992000,-0.017235652173912874,1.06672858,0.02656423576949158
6073,2005-01-04,1.139107,1.169107,1.124464,1.141786,0.967869,1096810400,0.01027005456657748,1.07263216,0.02645730877021934
6074,2005-01-05,1.151071,1.165179,1.14375,1.151786,0.976346,680433600,0.008758208631039377,1.07868574,0.026454905627857597
6075,2005-01-06,1.154821,1.159107,1.130893,1.152679,0.977102,705555200,0.0007753176371305681,1.08460718,0.026464635542822006
6076,2005-01-07,1.160714,1.243393,1.15625,1.236607,1.048247,2227450400,0.07281125100743568,1.09137504,0.02745834762673888
6077,2005-01-10,1.246964,1.2625,1.212143,1.231429,1.043857,1725309600,-0.004187264021633275,1.09736434,0.027135588580375382
6078,2005-01-11,1.21875,1.234821,1.145357,1.152857,0.977253,2611627200,-0.06380554623936907,1.1017071999999999,0.028873136218634285
6079,2005-01-12,1.16875,1.176786,1.130357,1.168929,0.990878,1919702400,0.013941017836557323,1.10635364,0.028898237251630415
6080,2005-01-13,1.31625,1.328929,1.245179,1.246429,1.056572,3164716800,0.06630000624503274,1.11217508,0.030110076464020735
6081,2005-01-14,1.254464,1.280714,1.235536,1.253571,1.062627,1770742400,0.00572996937651471,1.1174929200000001,0.02983655627440839
6082,2005-01-18,1.247321,1.2625,1.209821,1.261607,1.069439,1006460000,0.00641048652210352,1.12327864,0.029686052007816054
6083,2005-01-19,1.25875,1.276071,1.245536,1.247857,1.057783,751895200,-0.010898798120175246,1.12869292,0.02977809329696255
6084,2005-01-20,1.24375,1.272679,1.240536,1.258214,1.066562,914922400,0.008299829227227162,1.13443578,0.029733998865753543
6085,2005-01-21,1.273393,1.278571,1.25,1.25875,1.067017,911332800,0.00042600066443387874,1.1403072,0.029696075964176092
6086,2005-01-24,1.2675,1.281786,1.259821,1.263571,1.071104,841629600,0.003829990069513345,1.14602504,0.029678932973256477
6087,2005-01-25,1.274464,1.300714,1.266786,1.286607,1.090631,969231200,0.018230871078871003,1.15200718,0.02972668807278112
6088,2005-01-26,1.2975,1.299107,1.271786,1.290179,1.093658,739496800,0.0027762945483740253,1.15798934,0.02972814355617235
6089,2005-01-27,1.288571,1.302143,1.277679,1.297143,1.099562,496227200,0.00539770062913747,1.1642036199999999,0.0296903594572257
6090,2005-01-28,1.296786,1.321071,1.293571,1.321071,1.119845,801612000,0.018446694003668274,1.1710036199999998,0.029696185529018492
6091,2005-01-31,1.331786,1.390893,1.330536,1.373214,1.164046,1681097600,0.03947024800332444,1.17886076,0.030041647308443994
6092,2005-02-01,1.375893,1.38875,1.3675,1.384464,1.173582,678395200,0.008192459441864086,1.1867679000000002,0.030040964753187287
6093,2005-02-02,1.391964,1.426964,1.387321,1.421964,1.20537,1020062400,0.027086294768227992,1.1955035999999999,0.030126637852379755
6094,2005-02-03,1.4125,1.418393,1.380893,1.389464,1.17782,731651200,-0.022855712240253623,1.20138216,0.02641439796021988
6095,2005-02-04,1.390536,1.409464,1.384464,1.407857,1.193412,563556000,0.013237478624851029,1.2076571600000001,0.026422450790812995
6096,2005-02-07,1.409464,1.416964,1.383929,1.409643,1.194926,524456800,0.0012685947507453665,1.21297502,0.025789190777341882
6097,2005-02-08,1.411964,1.453214,1.406964,1.444643,1.224595,890019200,0.024828981522271976,1.2188143,0.025945441191582437
6098,2005-02-09,1.447143,1.464107,1.394643,1.406071,1.191898,1191456000,-0.026700022081579955,1.22249286,0.025054745847284312
6099,2005-02-10,1.405714,1.415714,1.368929,1.399286,1.186146,1093019200,-0.004825503121819619,1.22653216,0.024854192657980712
6100,2005-02-11,1.426071,1.46,1.409643,1.450179,1.229287,1201054400,0.03637069191001707,1.2313250199999999,0.025267349173205157
6101,2005-02-14,1.477321,1.514107,1.465179,1.51125,1.281056,1271463200,0.04211273229028967,1.23826074,0.025091545171943765
6102,2005-02-15,1.5475,1.590714,1.535714,1.57875,1.338274,2312217600,0.04466501240694787,1.24745002,0.02485728766877261
6103,2005-02-16,1.574107,1.610714,1.559821,1.609464,1.36431,1639243200,0.019454631828978552,1.2561464400000002,0.024169060510848744
6104,2005-02-17,1.61875,1.622857,1.561607,1.568036,1.329192,1518473600,-0.02574024644229389,1.2650464399999999,0.023520933074324776
6105,2005-02-18,1.566786,1.568929,1.540179,1.550179,1.314055,1163254400,-0.011388131394942436,1.27345002,0.02366372387470218
6106,2005-02-22,1.541071,1.576786,1.523036,1.523036,1.291047,1219293600,-0.017509590827897936,1.28105716,0.023897277911548276
6107,2005-02-23,1.548571,1.579464,1.527679,1.575536,1.33555,1345181600,0.03447062315007665,1.28930002,0.02417611445764307
6108,2005-02-24,1.58,1.594821,1.566607,1.588036,1.346146,1519028000,0.007933807923144798,1.2978786,0.02413332859350242
6109,2005-02-25,1.600357,1.605536,1.574821,1.589107,1.347054,915510400,0.0006744179602982125,1.3063428799999999,0.02414770833313236
6110,2005-02-28,1.595714,1.612143,1.57,1.602143,1.358104,651610400,0.008203349428326678,1.3150785999999999,0.02412785060069926
6111,2005-03-01,1.606786,1.611071,1.577143,1.589286,1.347205,468188000,-0.008024876680795767,1.3230786,0.024130981291030657
6112,2005-03-02,1.580357,1.603214,1.574286,1.575714,1.335701,458161200,-0.008539683858034275,1.33138216,0.02383012370592914
6113,2005-03-03,1.584643,1.586071,1.472143,1.4925,1.265162,1411653600,-0.052810345024541294,1.33883216,0.024585407583041122
6114,2005-03-04,1.527143,1.536071,1.494643,1.528929,1.296042,756618800,0.024408040201004955,1.3466643200000001,0.02468759159660732
6115,2005-03-07,1.528571,1.544643,1.5125,1.526786,1.294226,450632000,-0.0014016347390886086,1.35443218,0.024700065106380637
6116,2005-03-08,1.496429,1.505714,1.432143,1.4475,1.227016,1021451200,-0.05193000197801134,1.36052146,0.026031689069359824
6117,2005-03-09,1.415714,1.438571,1.386786,1.405357,1.191293,1322465200,-0.029114335060449026,1.36607146,0.026353751579851335
6118,2005-03-10,1.411786,1.437857,1.396429,1.4225,1.205824,777109200,0.012198323984581982,1.3716000400000001,0.026324777993170845
6119,2005-03-11,1.436071,1.449643,1.421429,1.438214,1.219145,632830800,0.011046748681898144,1.37735004,0.026340010129784704
